Datetime,Water Level (m)
2024-02-14 06:00:00,-0.06326211
2024-02-14 07:00:00,-0.050304797
2024-02-14 08:00:00,-0.036610447
2024-02-14 09:00:00,-0.027185053
2024-02-14 10:00:00,-0.024433993
2024-02-14 11:00:00,-0.027938144
2024-02-14 12:00:00,-0.036572263
2024-02-14 13:00:00,-0.04819931
2024-02-14 14:00:00,-0.060817584
2024-02-14 15:00:00,-0.0726424
2024-02-14 16:00:00,-0.080812074
2024-02-14 17:00:00,-0.081130646
2024-02-14 18:00:00,-0.07344484
2024-02-14 19:00:00,-0.060599852
2024-02-14 20:00:00,-0.04684239
2024-02-14 21:00:00,-0.03616157
2024-02-14 22:00:00,-0.031617567
2024-02-14 23:00:00,-0.033107672
2024-02-15 00:00:00,-0.03995563
2024-02-15 01:00:00,-0.05029241
2024-02-15 02:00:00,-0.062454782
2024-02-15 03:00:00,-0.07440057
2024-02-15 04:00:00,-0.08354341
2024-02-15 05:00:00,-0.08495709
2024-02-15 06:00:00,-0.07848905
2024-02-15 07:00:00,-0.067051776
2024-02-15 08:00:00,-0.054807253
2024-02-15 09:00:00,-0.04576615
2024-02-15 10:00:00,-0.042373702
2024-02-15 11:00:00,-0.044498328
2024-02-15 12:00:00,-0.051559765
2024-02-15 13:00:00,-0.06255032
2024-02-15 14:00:00,-0.075980306
2024-02-15 15:00:00,-0.08998304
2024-02-15 16:00:00,-0.10305747
2024-02-15 17:00:00,-0.11193307
2024-02-15 18:00:00,-0.11235392
2024-02-15 19:00:00,-0.10510338
2024-02-15 20:00:00,-0.09374267
2024-02-15 21:00:00,-0.082350634
2024-02-15 22:00:00,-0.074881025
2024-02-15 23:00:00,-0.07276388
2024-02-16 00:00:00,-0.07613912
2024-02-16 01:00:00,-0.0838004
2024-02-16 02:00:00,-0.09426785
2024-02-16 03:00:00,-0.10572686
2024-02-16 04:00:00,-0.116697386
2024-02-16 05:00:00,-0.12456351
2024-02-16 06:00:00,-0.12578987
2024-02-16 07:00:00,-0.120767534
2024-02-16 08:00:00,-0.11171804
2024-02-16 09:00:00,-0.10309535
2024-02-16 10:00:00,-0.09923297
2024-02-16 11:00:00,-0.10068924
2024-02-16 12:00:00,-0.10726012
2024-02-16 13:00:00,-0.117518656
2024-02-16 14:00:00,-0.12990841
2024-02-16 15:00:00,-0.14345089
2024-02-16 16:00:00,-0.15716375
2024-02-16 17:00:00,-0.16930011
2024-02-16 18:00:00,-0.17629471
2024-02-16 19:00:00,-0.17608765
2024-02-16 20:00:00,-0.16915417
2024-02-16 21:00:00,-0.15799871
2024-02-16 22:00:00,-0.14602639
2024-02-16 23:00:00,-0.13768141
2024-02-17 00:00:00,-0.13455385
2024-02-17 01:00:00,-0.1366358
2024-02-17 02:00:00,-0.14281608
2024-02-17 03:00:00,-0.15154815
2024-02-17 04:00:00,-0.16111024
2024-02-17 05:00:00,-0.17013071
2024-02-17 06:00:00,-0.17630734
2024-02-17 07:00:00,-0.17714342
2024-02-17 08:00:00,-0.17344643
2024-02-17 09:00:00,-0.1672246
2024-02-17 10:00:00,-0.16156545
2024-02-17 11:00:00,-0.16023594
2024-02-17 12:00:00,-0.16487762
2024-02-17 13:00:00,-0.17331702
2024-02-17 14:00:00,-0.1842361
2024-02-17 15:00:00,-0.19627856
2024-02-17 16:00:00,-0.20843706
2024-02-17 17:00:00,-0.2200088
